도서명,저자,발행처,발행년도,자료유형,소장처,등록일
눈물 대신 라면 :밥상 앞에선 오늘의 슬픔을 잊을 수 있지,원도 지음,빅피시,2025,단행본,서울도서관,20251203
리듬 난바다 :김멜라 장편소설,김멜라 지음,문학동네,2025,단행본,서울도서관,20251203
헌법소송법 =Constitutional litigation,이동흡 저,박영사,2025,단행본,서울도서관,20251203
유학과 아시아지역학,대한아시아지역학연구회 지음,부크크,2025,단행본,서울도서관,20251203
프로이트의 감정수업 :보이지 않는 무의식의 세계와 마주하기,강이안 지음,라이프해킹,2025,단행본,서울도서관,20251203
카피라이터의 작사법 :마음을 흔드는 한 문장 글쓰기,백건필 지음,Bookk(부크크),2025,단행본,서울도서관,20251203
유대인 쥐스 .2,리온 포이히트방거 지음,지식을만드는지식,2023,단행본,서울도서관,20251203
이산수학과 응용,박승안 저,경문사,2021,단행본,서울도서관,20251203
미용의학에서의 충격파 치료 :충격파 치료의 임상지침,Karsten Knobloch [저],영창출판사,2020,단행본,서울도서관,20251203
모두의 안녕,박주혜 글,샘터(샘터사),2023,단행본,서울도서관,20251203
우주 비행사 조니 김 :네이비실·의사·우주 비행사 세 개의 삶을 사는 현실판 슈퍼히어로,이정주 글,윌마,2025,단행본,서울도서관,20251203
공부 도파민 :몰입과 즐거움이 만드는 자기주도학습,김영득 지음,한울림,2025,단행본,서울도서관,20251203
그간 격조했습니다 :편지로 읽는 한국문학의 발자취 : 이동순 산문집,이동순 지음,창비,2025,단행본,서울도서관,20251203
"AI 시대 다시 시작하는 반도체 공부 :미세화 한계에서 인공지능 등장까지, 위기를 넘어 진화하는 반도체 기술들",정인성 지음,애플씨드,2025,단행본,서울도서관,20251203
초역 예수의 언어,김학철 지음,중앙books : 중앙일보에스,2025,단행본,서울도서관,20251203
좋은 담장 좋은 이웃 :안보와 통일 12개의 질문,송민순 지음,생각의창,2025,단행본,서울도서관,20251203
"믿거나 말거나, 과학(X)입니다 :우리는 왜 터무니없는 것들을 믿게 되는가?",크리스 프렌치 지음,상상스퀘어,2025,단행본,서울도서관,20251203
큰 기쁨의 좋은 소식 :성탄을 맞이하는 25개 묵상글,존 파이퍼 지음,개혁된실천사,2021,단행본,서울도서관,20251203
조선의 세시를 기록하다 :完譯 東國歲時記,홍석모 지음,민속원,2023,단행본,서울도서관,20251203
빗물 그 바아압 :권일혁 시집,권일혁 지음,걷는사람,2025,단행본,서울도서관,20251203
단테 《신곡》 함께 읽기 :영원불멸한 고전으로의 여행,강대진 지음,북길드,2025,단행본,서울도서관,20251203
중독을 파는 의사들 :의료시스템은 어떻게 우리를 약물 의존으로 내모는가,애나 렘키 지음,오월의봄,2025,단행본,서울도서관,20251203
탄젠트,그렉 베어 지음,허블,2025,단행본,서울도서관,20251203
불안을 알면 흔들리지 않는다 :더 이상 불안에 시간과 에너지를 쓰고 싶지 않은 당신에게,키렌 슈나크 지음,오픈도어북스,2025,단행본,서울도서관,20251203
경찰인 엄마 아빠가 제 자랑이에요 :윤보영 시인이 시로 만난 경찰,윤보영 지음,이지출판,2025,단행본,서울도서관,20251203
세계의 주인 :각본집,윤가은 지음,안온(안온북스),2025,단행본,서울도서관,20251203
"(시와 술과 차가 있는) 중국 인문 기행 .4 ,사천성 편",송재소 지음,창비,2023,단행본,서울도서관,20251203
디퍼 앤 디퍼 :이해진 장편 소설 =Deeper and deeper,이해진 [지음],봄 미디어,2016,단행본,서울도서관,20251203
그녀를 지키다 :장바티스트 앙드레아 장편소설,장바티스트 앙드레아 지음,열린책들,2025,단행본,서울도서관,20251203
"(장난천재) 쾌걸 조로리 :초등 저학년 읽기 동화 .8 ,공포의 놀이공원",하라 유타카 글·그림,을파소: 북이십일,2024,단행본,서울도서관,20251203
"(네모아저씨의) 페이퍼 블레이드 :유닛의 진화! 더 강해진 배틀! .2 ,레볼루션(revolution)",이원표 지음,슬로래빗,2019,단행본,서울도서관,20251203
하수도에서 살아남기 .2,포도알친구 글,Mirae N 아이세움 : 미래엔,2023,단행본,서울도서관,20251203
뇌와 뉴런 :신경 세포: 뇌의 기능과 메커니즘을 말한다 최신 뇌과학 입문의 결정판!,[ニュートンプレス 편],아이뉴턴,2018,단행본,서울도서관,20251203
(서울 자가에 대기업 다니는) 김 부장 이야기 :특별 합본호,송희구 지음,서삼독,2024,단행본,서울도서관,20251203
"죽을 때까지 나를 다스린다는 것 :인생이라는 파도에 휩쓸리지 않는, 명상록 읽기",기시미 이치로 지음,위즈덤하우스,2024,단행본,서울도서관,20251203
이어령의 말 :나를 향해 쓴 글이 당신을 움직이기를: 이어령 어록집,이어령 지음,세계사,2025,단행본,서울도서관,20251203
(미래 생태학자를 위한) 곤충 탐험북 [점·묵자 혼용도서],국립생태원 엮음,국립생태원,2025,단행본,서울도서관,20251203
(국립생태원 사계절) 자생식물 이야기 [큰글자도서],박수지,국립생태원,2025,단행본,서울도서관,20251203
제주신화 이야기 [점자자료],김순이 글,제주돌문화공원,2025,단행본,서울도서관,20251203
엄마의 김치수첩 [점자라벨자료],한라경 글,보랏빛소어린이,2024,단행본,서울도서관,20251203
우당탕탕 책들의 전쟁 [점자라벨자료],멜라니 엘스워스 글,라이브리안,2023,단행본,서울도서관,20251203
우리 집이 더 높아! [점자라벨자료],지안나 마리노 글·그림,개암나무,2025,단행본,서울도서관,20251203
침묵의 순간 [점자라벨자료],플로렌스 제너 메스 글,아롬주니어,2022,단행본,서울도서관,20251203
쉿! [점자라벨자료],다비드 칼리 글,책빛,2021,단행본,서울도서관,20251203
모내기하는 날 [점자라벨자료],박지윤 글,책고래,2024,단행본,서울도서관,20251203
길강아지 고동이 [점자라벨자료],블링문 쓰고 그림,도토리숲,2025,단행본,서울도서관,20251203
딱 알맞은 집 [점자라벨자료],신순재 글,노란상상,2024,단행본,서울도서관,20251203
최고의 친구? [점자라벨자료],김난지 글,봄개울,2020,단행본,서울도서관,20251203
파도의 하루 [점자라벨자료],아베 유이 글·그림,그린애플 : 비전비엔피,2024,단행본,서울도서관,20251203
내 마음속 마법 깃털 [점자라벨자료],잔드라 디크만 글·그림,찰리북,2024,단행본,서울도서관,20251203
개미의 걱정 [점자라벨자료],초모 글·그림,수피아(Supia),2021,단행본,서울도서관,20251203
깜장파티 [점자라벨자료],김명 글,월천상회,2024,단행본,서울도서관,20251203
(당당하게 말하자) 좋아! 싫어! [점자라벨자료],경자 글·그림,작은코도마뱀,2024,단행본,서울도서관,20251203
집짓기 [점자라벨자료],이재경 글·그림,고래뱃속,2021,단행본,서울도서관,20251203
"위버멘쉬 :누구의 시선도 아닌, 내 의지대로 살겠다는 선언",프리드리히 니체 지음,Rise(떠오름코퍼레이션),2025,단행본,서울도서관,20251203
달리기를 말할 때 내가 하고 싶은 이야기 :세계적 작가 하루키의 달리기를 축으로 한 문학과 인생의 회고록 =What I talk about when I talk about running,무라카미 하루키 지음,문학사상,2009,단행본,서울도서관,20251203
(Again!) 뒤집어본 영문법 =Not just another grammar book,오성호 지음,김영사,2006,단행본,서울도서관,20251203
